,user utc offset,text,created_at,user,id,user time zone,lng,user location,lat,language,Parsed,lemmas
756,,2 thumbs up for NAPOLES!!! #CertifiedSikat http://t.co/PSvlmjJykH,1383889675.0,kennagwapahan,'398809106456510464',Alaska,,-32400.0,,en,2 thumbs up for NAPOLES!!! #CertifiedSikat http://t.co/PSvlmjJykH,"[thumbs, NAPOLES, CertifiedSikat, http://t.co/PSvlmjJykH]"
757,PHILIPPINES,"Rappler Newscast: Yolanda PH, pork barrel, HK and Manila | Watch: http://t.co/DGxp1e7V8P via Rappler",1383889752.0,BalitaNgayon,'398809428969136128',,,,,en,"Rappler Newscast: Yolanda PH, pork barrel, HK and Manila | Watch: http://t.co/DGxp1e7V8P via Rappler","[Rappler, Newscast, Yolanda, PH, pork, barrel, HK, Manila, |, Watch, http://t.co/DGxp1e7V8P, Rappler]"
758,"Milky Way Galaxy, Earth","""@laslasnafriend: Smile smile din pag may crime. #Napoles http://t.co/4fkkSe9xlB""",1383889783.0,itsElishaGallo,'398809561731055617',Beijing,,28800.0,,en,"""@laslasnafriend: Smile smile din pag may crime. #Napoles http://t.co/4fkkSe9xlB""","[@laslasnafriend, Smile, smile, din, pag, crime, Napoles, http://t.co/4fkkSe9xlB]"
759,"MNL, PHL",Just a thought.. Napoles won't stand a chance in Pinoy Henyo 'cause she doesn't know anything.,1383889799.0,jomskiii,'398809629813002240',Hong Kong,,28800.0,,en,Just a thought.. Napoles won't stand a chance in Pinoy Henyo 'cause she doesn't know anything.,"[thought, Napoles, wo, n't, stand, chance, Pinoy, Henyo, 'cause, n't, know]"
760,Manila,"""Smile smile din pag may crime""- Napoles. ",1383889827.0,Phamelacamram,'398809747052195841',Alaska,,-32400.0,,en,"""Smile smile din pag may crime""- Napoles. ","[Smile, smile, din, pag, crime""-, Napoles]"
761,VIP,convo with my friends about napoles senate hearing was funny as shit earlier xD,1383889849.0,giyongchy94,'398809837972115456',Singapore,,28800.0,,en,convo with my friends about napoles senate hearing was funny as shit earlier xD,"[convo, friends, napoles, senate, hearing, funny, shit, earlier, xD]"
762,,I invoke my right against self-incrimination. -NApoles haha,1383889851.0,GraceDeeGee,'398809845438377984',,,,,en,I invoke my right against self-incrimination. -NApoles haha,"[invoke, right, self, incrimination, -NApoles, haha]"
763,Under the sea,Obvious masyado na your stressed. You look like Napoles.,1383889880.0,ElizeLabao,'398809966003240960',,,,,en,Obvious masyado na your stressed. You look like Napoles.,"[Obvious, masyado, na, stressed, look, like, Napoles]"
764,PHILIPPINES,Napoles transfer to regular jail up to court http://t.co/b9J1BybeJy via InquirerNET,1383889886.0,BalitaNgayon,'398809994596220928',,,,,en,Napoles transfer to regular jail up to court http://t.co/b9J1BybeJy via InquirerNET,"[Napoles, transfer, regular, jail, court, http://t.co/b9J1BybeJy, InquirerNET]"
765,PHILIPPINES,MTRCB summons Arnold Clavio for rude language against Napoles lawyer http://t.co/mGvV7YDszZ via InquirerNET,1383889889.0,BalitaNgayon,'398810005337804800',,,,,en,MTRCB summons Arnold Clavio for rude language against Napoles lawyer http://t.co/mGvV7YDszZ via InquirerNET,"[MTRCB, summons, Arnold, Clavio, rude, language, Napoles, lawyer, http://t.co/mGvV7YDszZ, InquirerNET]"
766,Quezon City,"President @noynoyaquino , pls bring #Napoles 2 a regular jail. She won't cooperate. Why waste P150k each time she goes out of Sta Rosa?",1383889901.0,farrahgutierrez,'398810056335978497',Singapore,,28800.0,,en,"President @noynoyaquino , pls bring #Napoles 2 a regular jail. She won't cooperate. Why waste P150k each time she goes out of Sta Rosa?","[President, @noynoyaquino, pls, bring, Napoles, regular, jail, wo, n't, cooperate, waste, P150k, time, goes, Sta, Rosa]"
767,,"You Napoles, tell the truth before you get assassinated by the masterminds! Sen. Miriam Defensor Santiago said",1383889909.0,litlynvistal,'398810091329421312',Pacific Time (US & Canada),,-28800.0,,en,"You Napoles, tell the truth before you get assassinated by the masterminds! Sen. Miriam Defensor Santiago said","[Napoles, tell, truth, assassinated, masterminds, Sen., Miriam, Defensor, Santiago, said]"
768,CITY OF LOVE ,Will watch Napoles' interview again!,1383889941.0,TinnyJaay,'398810221956452352',Pacific Time (US & Canada),,-28800.0,,en,Will watch Napoles' interview again!,"[watch, Napoles, interview]"
769,,"""@vicegandako: Napoles Wedding- Priest: Janet do you take this man to be your lawfully wedded husband? Janet: Di ko po alam!""",1383889965.0,jllnbtst,'398810322493898753',Beijing,,28800.0,,en,"""@vicegandako: Napoles Wedding- Priest: Janet do you take this man to be your lawfully wedded husband? Janet: Di ko po alam!""","[@vicegandako, Napoles, Wedding-, Priest, Janet, man, lawfully, wedded, husband, Janet, Di, ko, po, alam]"
