user utc offset,text,created_at,user,id,user time zone,lng,user location,lat,language
's heart / Pinas!,Miriam and Napoles at Senate hearing  http://t.co/gNK4xZRzEC,1383876720.0,dianne_ohno,'398754770078277632',Hong Kong,,28800,,en
Inside your closet,"""I invoke my right against self-incrimination."" -_- anak ng napoles naman oh haha",1383876807.0,Dat_Weird_Gurl,'398755135087583232',Beijing,,28800,,en
"Manila, Philippines",MANUEL BUENCAMINO | The parable of the portable computer and the pork barrel http://t.co/x8bh20JEGV,1383876834.0,TV5JournalisMO,'398755250829799424',Singapore,,28800,,en
Philippines,Do you think Napoles prayed for Yolanda so that the at...  If she prayed for that then she can already go to hell. http://t.co/aMLwiAsPYj,1383876842.0,mrcondz,'398755281532092416',Hong Kong,,28800,,en
Pampanga,"""@SuperElmo: And she spoke words that would melt in your hands - Napoles""",1383876863.0,allyssandraaaa,'398755372552306688',Beijing,,28800,,en
Philippines,"I can offer chicser and Napoles to Yolanda, just to get Demi Lovato's cleft chin!",1383876864.0,MarioneBugarin,'398755375828041729',Taipei,,28800,,en
"Dubai, UAE",I like punchline no. 1! Choose the #PugadBaboy ending you like best - #PugadBaboy: Reading Napoles: http://t.co/1G65gjxvQ0,1383876920.0,iAmSuperCis,'398755607752482817',Abu Dhabi,,14400,,en
Melting pot of the south,How much money do you need to feel rich?  10B haha. #Napoles lang? http://t.co/TMLbN4RGq3,1383876955.0,hellyeahshin,'398755754712518656',Kuala Lumpur,,28800,,en
Taguig City,Smile smile din pag may crime. #Napoles http://t.co/qdUzvolk0P,1383876956.0,laslasnafriend,'398755761825656832',Beijing,,28800,,en
MNL,6hrs of my time is consumed just watching the Blue Ribbon committee on the PDAF Scam by napoles.,1383876961.0,TRICKsiLOG,'398755783459872768',Beijing,,28800,,en
Philippines,"Whenever I remember Napoles say sorry over the mic and her expression that went with it, I burn in utter annoyance.",1383876964.0,Dominikovich,'398755796009250817',Pacific Time (US & Canada),,-28800,,en
Manila,"Current thought: If it were 2009, and allegations are true, Napoles could well be plotting to pocket millions of Yolanda relief funds. Ouch.",1383876966.0,natashya_g,'398755803156340737',Hong Kong,,28800,,en
Philippines,alam mo ba yung You shall not steal??OPOAnd yet you steal(No Comment si Napoles),1383876978.0,paulsudara,'398755853768986624',Beijing,,28800,,en
"caloocan,philippines",Smile smile din pag may crime. #Napoles,1383876991.0,maynclaveria,'398755905904209920',Beijing,,28800,,en
"Baler, Aurora",@laslasnafriend: Smile smile din pag may crime. #Napoles http://t.co/bGGzZahf7M,1383877029.0,ronncedric12,'398756068425080832',Singapore,121.5605345,28800,15.75884731,en
,Smile smile din pag may crime. #Napoles http://t.co/7vjGKsDSpA,1383877037.0,_jenniferBinyeL,'398756100951908352',Beijing,,28800,,en
"Sta. Rosa, Laguna","""@laslasnafriend: Smile smile din pag may crime. #Napoles http://t.co/xispuEM7f3""",1383877057.0,Claycloy,'398756184460496897',Arizona,,-25200,,en
,Napoles gaming &lt;3,1383877058.0,YheLololove,'398756190152171520',Alaska,,-32400,,en
,"""@tomlinshakeys: ""Harry met filipino fans and said they were cute and beautiful""he called us cutehe called napoles cutehe called me cute""",1383877059.0,butterynourry,'398756192014446592',,,,,en
9999 miles away from him,"""@laslasnafriend: Smile smile din pag may crime. #Napoles http://t.co/DtOgVeYlWR""",1383877077.0,beadlssnts,'398756268313047041',Beijing,,28800,,en
wherever the food's at,"""did u do ur homework?"" me: [janet lim-napoles' voice] ""i invoke my right to self-incrimination""",1383877086.0,arghsteph,'398756306716479488',Alaska,,-32400,,en
Philippines,#NewsBreak Napoles transfer to regular jail up to court http://t.co/DJn8DhzTgT #Inquirer,1383877122.0,ClickTheNews,'398756458537299968',Pacific Time (US & Canada),,-28800,,en
Philippines,#PhNews Napoles transfer to regular jail up to court http://t.co/k35f4FruC2,1383877124.0,NewsForPh,'398756463448817664',Beijing,,28800,,en
DABAW CITEEEE,Napoles should be bury alive. #PrayForThePhilippines,1383877133.0,ydnekarehs,'398756501486981120',Taipei,,28800,,en
,@PanirangCaption: What does the fox say? ... Napoles: di ko po alam! http://t.co/yWOmvFEizX,1383877142.0,AdingBading,'398756538904346624',Beijing,,28800,,en
,"Famous words by Janet Napoles,hindi ko po alam and I invoke my rights.",1383877146.0,BartsDJ,'398756557980069888',Pacific Time (US & Canada),,-28800,,en
Iligan City Philippines,"""@laslasnafriend: Smile smile din pag may crime. #Napoles http://t.co/Bn97UXiI6V"" HAHAHA",1383877170.0,kentooyy,'398756659167641600',Pacific Time (US & Canada),,-28800,,en
"I'm a gypsy, gypsy, gypsy hey!",ARTPOP would save us from Napoles and Yolanda. @ladygagaph @Astroplus1 #ARTPOPxASTROPLUS,1383877178.0,RenzRupert,'398756690037702658',Singapore,,28800,,en
"Balham, London","""@laslasnafriend: Smile smile din pag may crime. #Napoles http://t.co/5H8fWremLa""",1383877181.0,patsomerhalder,'398756703040061440',Beijing,,28800,,en
,@PanirangCaption: What does the fox say? ... Napoles: di ko po alam! http://t.co/rFTQbd8Gl5,1383877182.0,2infinitynBIHAN,'398756709444763648',Alaska,,-32400,,en
,"@zxcvbnMEiLiN What can you say about the ""I invoke my rights?"" (Janet Napoles) @uryuu_ishida06 @ThiSamanthaGirl @ynahvillarin share! share!",1383877189.0,LearningConfere,'398756739790565376',,,,,en
