,id,lat,lng,text,Parsed,lemmas
322,928641412886700032,14.771861999999999,120.9444685,''Lakas talaga ng pananalig ko😌 https://t.co/dd18dBuYhx'',''Lakas talaga ng pananalig ko😌 https://t.co/dd18dBuYhx'',"['lakas', 'talaga', 'pananalig', 'ko😌']"
323,928653826957099008,14.5833065,121.08234499999999,''🍍 https://t.co/t1tsFnlDyc'',''🍍 https://t.co/t1tsFnlDyc'',[]
324,928671804331134976,14.4304565,120.96950149999999,''140: Long Weekend.  280: Looooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo… https://t.co/U6nVHBeFtq'',''140: Long Weekend.  280: Looooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo… https://t.co/U6nVHBeFtq'',"['long', 'weekend', 'looooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooooo']"
325,928647027231154181,14.712613000000001,120.97565549999999,''ETO TALAGA INAANTAY KO. KASI HANGGANG ACT 14 PALANG NASASAGUTAN KO SA MICRO MANUAL HAHAHAHAHAHA https://t.co/X5o4upbBIZ'',''ETO TALAGA INAANTAY KO. KASI HANGGANG ACT 14 PALANG NASASAGUTAN KO SA MICRO MANUAL HAHAHAHAHAHA https://t.co/X5o4upbBIZ'',"['eto', 'talaga', 'inaantay', 'kasi', 'hanggang', 'act', 'palang', 'nasasagutan', 'micro', 'manual', 'hahahahahaha']"
326,928738464610238464,14.683012,121.0627355,"''Mixed feelings. I could rest longer, but when I think abt the missed lessons &amp; my other things to do... #walangpasok #threehundredfourteenth''","''Mixed feelings. I could rest longer, but when I think abt the missed lessons &amp; my other things to do... #walangpasok #threehundredfourteenth''","['mixed', 'feeling', 'rest', 'long', 'think', 'abt', 'miss', 'lesson', 'amp', 'thing', 'walangpasok', 'threehundredfourteenth']"
327,928670180930084864,16.843279000000003,121.56304750000001,''#WalangPasok sana para walag quiz di ako ready eh hahaha'',''#WalangPasok sana para walag quiz di ako ready eh hahaha'',"['walangpasok', 'sana', 'para', 'walag', 'quiz', 'ako', 'ready', 'hahaha']"
328,928648293751521281,14.407882999999998,121.03131,''Nagaaral po kami nang mabuti.. tapos po walang pasok? ;( HAHAHAHAHAHAHAHHAHA https://t.co/uBpkkBj1uQ'',''Nagaaral po kami nang mabuti.. tapos po walang pasok? ;( HAHAHAHAHAHAHAHHAHA https://t.co/uBpkkBj1uQ'',"['nagaaral', 'kami', 'nang', 'mabuti', 'tapos', 'walang', 'pasok', 'hahahahahahahahhaha']"
329,928649625233342464,14.683012,121.0627355,''🤘🏼 https://t.co/zr2QbGWZHY'',''🤘🏼 https://t.co/zr2QbGWZHY'',[]
330,928643406229733376,13.219976500000001,121.241867,"''Kung walang mami, sa-LOME nalang tayo.  #SalomePH''","''Kung walang mami, sa-LOME nalang tayo.  #SalomePH''","['kung', 'walang', 'mami', 'lome', 'nalang', 'tayo', 'salomeph']"
331,928639158720925696,14.646970999999999,121.104887,''HAHAHHAHAHAH https://t.co/Bhe6pZDZaS'',''HAHAHHAHAHAH https://t.co/Bhe6pZDZaS'',['hahahhahahah']
332,928650269331677184,14.6879375,121.170794,''@mrkpsc signal no.2 https://t.co/FoxQpH5ZFC'',''@mrkpsc signal no.2 https://t.co/FoxQpH5ZFC'',"['signal', 'no.2']"
333,928655851149172738,16.397208,121.133401,''Vizcaya din sana. Para ma-move exams ng alaga ko. Hahahaha. #WalangPasok #SalomePH'',''Vizcaya din sana. Para ma-move exams ng alaga ko. Hahahaha. #WalangPasok #SalomePH'',"['vizcaya', 'din', 'sana', 'para', 'exam', 'alaga', 'hahahaha', 'walangpasok', 'salomeph']"
334,928652879144955904,14.683012,121.0627355,''BERI BERI LONG WEEKEND YAY LUV ET https://t.co/6GW3RiaszI'',''BERI BERI LONG WEEKEND YAY LUV ET https://t.co/6GW3RiaszI'',"['beri', 'beri', 'long', 'weekend', 'yay', 'luv']"
335,928651161179000833,14.5464995,121.033212,''HAHAHAHAHAAH TANGINA https://t.co/NgEggjp60G'',''HAHAHAHAHAAH TANGINA https://t.co/NgEggjp60G'',"['hahahahahaah', 'tangina']"
336,928643408352100353,14.5914565,120.9839865,''❤️ https://t.co/560UPdXK1M'',''❤️ https://t.co/560UPdXK1M'',[]
337,928651749413363712,14.7108935,121.0311415,''Mag eenroll na nga ako Bukas eh!!! 😭💔😭 https://t.co/BH19Eyd7NW'',''Mag eenroll na nga ako Bukas eh!!! 😭💔😭 https://t.co/BH19Eyd7NW'',"['mag', 'eenroll', 'nga', 'ako', 'bukas', '😭💔😭']"
338,928654313483673601,14.7108935,121.0311415,''Thank you ninong! Hahaha https://t.co/ZgzE4eAvlB'',''Thank you ninong! Hahaha https://t.co/ZgzE4eAvlB'',"['thank', 'ninong', 'hahaha']"
339,928646713148968961,14.5914565,120.9839865,''My chances of meeting my crush(es) are now back to zero 🙃 #WalangPasok'',''My chances of meeting my crush(es) are now back to zero 🙃 #WalangPasok'',"['chance', 'meet', 'crush(es', 'walangpasok']"
340,928669183931326464,14.4304565,120.96950149999999,''At mapapagood job ka https://t.co/A51Ap1OepK'',''At mapapagood job ka https://t.co/A51Ap1OepK'',"['mapapagood', 'job']"
341,928685094813908992,14.3994195,120.93047949999999,''Kamusta kaya sitwasyon ng aguinaldo highway passable ba? #SalomePH'',''Kamusta kaya sitwasyon ng aguinaldo highway passable ba? #SalomePH'',"['kamusta', 'kaya', 'sitwasyon', 'aguinaldo', 'highway', 'passable', 'salomeph']"
342,928644012482838528,14.5914565,120.9839865,''#WalangPasok oops all nighters'',''#WalangPasok oops all nighters'',"['walangpasok', 'oop', 'nighter']"
343,928642178783395842,14.5914565,120.9839865,''yaay #FierceTamaraws https://t.co/526RXLHgqn'',''yaay #FierceTamaraws https://t.co/526RXLHgqn'',"['yaay', 'fiercetamaraws']"
344,928653602305929216,14.575547400000001,121.0275404,''Maraming Thank you Mayora! Labyou Mommy❤ #WalangPasok https://t.co/A7n8Awly32'',''Maraming Thank you Mayora! Labyou Mommy❤ #WalangPasok https://t.co/A7n8Awly32'',"['maraming', 'thank', 'mayora', 'labyou', 'mommy❤', 'walangpasok']"
345,928738552606744576,15.5931,120.7391,''⒈ #MakeMeAngryIn5Words ⒉ #ALDUBManaligSaPuso ⒊ #WelcometoMNLHyungsik ⒋ #SalomePH ⒌ #LLSBlackParty  2017/11/10 05:32 +08'',''⒈ #MakeMeAngryIn5Words ⒉ #ALDUBManaligSaPuso ⒊ #WelcometoMNLHyungsik ⒋ #SalomePH ⒌ #LLSBlackParty  2017/11/10 05:32 +08'',"['makemeangryin5word', 'aldubmanaligsapuso', 'welcometomnlhyungsik', 'salomeph', 'llsblackparty', '2017/11/10', '05:32']"
346,928651174961602560,14.646970999999999,121.104887,''Dapat talaga may pasok bukas eh. Wala naman ulan bukas 😂😂😂  #WalangPasok'',''Dapat talaga may pasok bukas eh. Wala naman ulan bukas 😂😂😂  #WalangPasok'',"['dapat', 'talaga', 'pasok', 'bukas', 'wala', 'naman', 'ulan', 'bukas', '😂😂😂', 'walangpasok']"
